"source,target"
"Kapal api easy drip,santos jaya abadi"
"Kapal api grand white coffe,santos jaya abadi"
"Kapal api special,santos jaya abadi"
"Kapal api luwak blend,santos jaya abadi"
"Abc kopi mocca,santos jaya abadi"
"Abc plus gula,santos jaya abadi"
"Kapal api,roast and ground"
"Kapal api blue mountain blend,santos jaya abadi"
"Kapal api mantap gula,santos jaya abadi"
"Kapal api kopi susu, santos jaya abadi"
"Kapal api kopi mocha,santos jaya abadi"
"Kapal api less sugar,santos jaya abadi"
"Kapal api signature,santos jaya abadi"
"Abc choco malt coffe,santos jaya abadi"
"Abc mix,santos jaya abadi"
"Abc kopi susu,santos jaya abadi"
"Abc kopi hitam,santos jaya abadi"
"Kopi abc mocca,santos jaya abadi"
"Kopi bubuk abc bali,santos jaya abadi"
